side,rule,severity,description,depth,source_clock,destination_clock,exception,destination,multiplicity
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[31]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[3]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[4]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[5]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[6]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[7]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[8]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_channel_reg[9]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[0]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[10]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[11]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[12]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[13]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[14]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[15]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[16]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[17]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[18]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[19]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[1]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[20]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[21]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[22]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[23]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[24]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[25]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[26]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[27]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[28]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[29]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[2]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[30]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[31]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[3]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[4]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[5]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[6]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[7]/D,1
ACCEPTED_ONLY,CDC-15,Warning,Clock enable controlled CDC structure detected,0,nvp_vclk1,userclk1,Max Delay Datapath Only,G2B_ONECH_C2H/shadow_last_global_reg[8]/D,1
