order,phase,operation,bank_expression,register_expression,value_mask_expression,delay_ms,ch1_bank,ch1_register,ch1_value,ch3_bank,ch3_register,ch3_value,source_file,source_function,source_line,authority_class,nvp6134c_compatibility,note
1,COMMON,BANK_SELECT,UNKNOWN_ENTRY_BANK,0xFF,0x00,0,UNKNOWN_ENTRY_BANK,0xFF,0x00,UNKNOWN_ENTRY_BANK,0xFF,0x00,video.c,nvp6134_set_common_value,2070,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
2,COMMON,WRITE,0x00,0x00+(ch%4),0x10,0,0x00,0x00,0x10,0x00,0x02,0x10,video.c,nvp6134_set_common_value,2071,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
3,COMMON,WRITE,0x00,0x22+(ch%4)*4,0x0B,0,0x00,0x22,0x0B,0x00,0x2A,0x0B,video.c,nvp6134_set_common_value,2072,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
4,COMMON,WRITE,0x00,0x23+(ch%4)*4,0x43,0,0x00,0x23,0x43,0x00,0x2B,0x43,video.c,nvp6134_set_common_value,2073,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
5,COMMON,WRITE,0x00,0x30+ch%4,0x10,0,0x00,0x30,0x10,0x00,0x32,0x10,video.c,nvp6134_set_common_value,2074,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
6,COMMON,WRITE,0x00,0x34+ch%4,0x02,0,0x00,0x34,0x02,0x00,0x36,0x02,video.c,nvp6134_set_common_value,2075,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
7,COMMON,WRITE,0x00,0x93+ch%4,0x00,0,0x00,0x93,0x00,0x00,0x95,0x00,video.c,nvp6134_set_common_value,2076,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
8,COMMON,WRITE,0x00,0xA4+ch%4,0x00,0,0x00,0xA4,0x00,0x00,0xA6,0x00,video.c,nvp6134_set_common_value,2077,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
9,COMMON,BANK_SELECT,0x00,0xFF,0x05+ch%4,0,0x00,0xFF,0x05,0x00,0xFF,0x07,video.c,nvp6134_set_common_value,2081,NVP6134C_DATASHEET,PROVEN_REGISTER_VALUE,
10,COMMON,WRITE,0x05+ch%4,0x00,0xC0,0,0x05,0x00,0xC0,0x07,0x00,0xC0,video.c,nvp6134_set_common_value,2082,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
11,COMMON,WRITE,0x05+ch%4,0x01,0x02,0,0x05,0x01,0x02,0x07,0x01,0x02,video.c,nvp6134_set_common_value,2083,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
12,COMMON,WRITE,0x05+ch%4,0x05,0x24,0,0x05,0x05,0x24,0x07,0x05,0x24,video.c,nvp6134_set_common_value,2084,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
13,COMMON,WRITE,0x05+ch%4,0x08,0x50,0,0x05,0x08,0x50,0x07,0x08,0x50,video.c,nvp6134_set_common_value,2085,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
14,COMMON,WRITE,0x05+ch%4,0x0e,0x30,0,0x05,0x0E,0x30,0x07,0x0E,0x30,video.c,nvp6134_set_common_value,2086,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
15,COMMON,WRITE,0x05+ch%4,0x11,0x06,0,0x05,0x11,0x06,0x07,0x11,0x06,video.c,nvp6134_set_common_value,2087,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
16,COMMON,WRITE,0x05+ch%4,0x23,0x00,0,0x05,0x23,0x00,0x07,0x23,0x00,video.c,nvp6134_set_common_value,2088,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
17,COMMON,WRITE,0x05+ch%4,0x2A,0x52,0,0x05,0x2A,0x52,0x07,0x2A,0x52,video.c,nvp6134_set_common_value,2089,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
18,COMMON,WRITE,0x05+ch%4,0x0e,0x30,0,0x05,0x0E,0x30,0x07,0x0E,0x30,video.c,nvp6134_set_common_value,2090,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
19,COMMON,WRITE,0x05+ch%4,0x58,0x02,0,0x05,0x58,0x02,0x07,0x58,0x02,video.c,nvp6134_set_common_value,2091,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
20,COMMON,WRITE,0x05+ch%4,0x59,0x11,0,0x05,0x59,0x11,0x07,0x59,0x11,video.c,nvp6134_set_common_value,2092,REFERENCE_DRIVER_SEMANTICS,CONTROLLED_NVP6134C_COMPATIBILITY_TEST_REQUIRED,
